2024-10-24T13:14:06.169887382Z I1024 13:14:06.169861       1 controller.go:232] csr-fq6mp: CSR not authorized
2024-10-24T13:14:06.170050652Z E1024 13:14:06.170011       1 controller.go:316] "Reconciler error" err="could not reconcile CSR: could not authorize CSR: exhausted all authorization methods: Unable to find machine for node" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="7d8eeef9-2140-47e7-b3c1-f0535f7ad282"
2024-10-24T13:14:06.210496628Z I1024 13:14:06.210423       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:14:06.252857405Z I1024 13:14:06.252784       1 csr_check.go:163] csr-fq6mp: CSR does not appear to be client csr
2024-10-24T13:14:06.259525635Z I1024 13:14:06.259430       1 csr_check.go:565] retrieving serving cert from ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x (10.0.128.2:10250)
2024-10-24T13:14:06.262155495Z I1024 13:14:06.262080       1 csr_check.go:188] Failed to retrieve current serving cert: remote error: tls: internal error
2024-10-24T13:14:06.262155495Z I1024 13:14:06.262111       1 csr_check.go:208] Falling back to machine-api authorization for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x
2024-10-24T13:14:06.262155495Z E1024 13:14:06.262121       1 csr_check.go:366] csr-fq6mp: Serving Cert: No target machine for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:14:06.262155495Z I1024 13:14:06.262134       1 csr_check.go:211] Could not use Machine for serving cert authorization: Unable to find machine for node
2024-10-24T13:14:06.271041614Z I1024 13:14:06.270993       1 controller.go:232] csr-fq6mp: CSR not authorized
2024-10-24T13:14:06.271153404Z E1024 13:14:06.271093       1 controller.go:316] "Reconciler error" err="could not reconcile CSR: could not authorize CSR: exhausted all authorization methods: Unable to find machine for node" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="f84f0378-35d4-4f2c-9343-59f576b68d00"
2024-10-24T13:14:06.313017990Z I1024 13:14:06.312963       1 controller.go:120] Reconciling CSR: csr-54d7v
2024-10-24T13:14:06.352023408Z I1024 13:14:06.351965       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:14:06.372816426Z I1024 13:14:06.372768       1 controller.go:239] CSR csr-54d7v approved
2024-10-24T13:14:06.453459970Z I1024 13:14:06.453401       1 csr_check.go:163] csr-fq6mp: CSR does not appear to be client csr
2024-10-24T13:14:06.473416428Z I1024 13:14:06.473345       1 csr_check.go:565] retrieving serving cert from ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x (10.0.128.2:10250)
2024-10-24T13:14:06.475987668Z I1024 13:14:06.475889       1 csr_check.go:188] Failed to retrieve current serving cert: remote error: tls: internal error
2024-10-24T13:14:06.475987668Z I1024 13:14:06.475923       1 csr_check.go:208] Falling back to machine-api authorization for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x
2024-10-24T13:14:06.475987668Z E1024 13:14:06.475940       1 csr_check.go:366] csr-fq6mp: Serving Cert: No target machine for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:14:06.475987668Z I1024 13:14:06.475950       1 csr_check.go:211] Could not use Machine for serving cert authorization: Unable to find machine for node
2024-10-24T13:14:06.483223117Z I1024 13:14:06.483171       1 controller.go:232] csr-fq6mp: CSR not authorized
2024-10-24T13:14:06.483296427Z E1024 13:14:06.483234       1 controller.go:316] "Reconciler error" err="could not reconcile CSR: could not authorize CSR: exhausted all authorization methods: Unable to find machine for node" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="624988f9-0399-4ab8-b139-08a2090d8795"
2024-10-24T13:14:06.643697195Z I1024 13:14:06.643612       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:14:06.678107402Z I1024 13:14:06.678028       1 csr_check.go:163] csr-fq6mp: CSR does not appear to be client csr
2024-10-24T13:14:06.686785451Z I1024 13:14:06.686711       1 csr_check.go:565] retrieving serving cert from ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x (10.0.128.2:10250)
2024-10-24T13:14:06.689462461Z I1024 13:14:06.689367       1 csr_check.go:188] Failed to retrieve current serving cert: remote error: tls: internal error
2024-10-24T13:14:06.689462461Z I1024 13:14:06.689407       1 csr_check.go:208] Falling back to machine-api authorization for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x
2024-10-24T13:14:06.689462461Z E1024 13:14:06.689422       1 csr_check.go:366] csr-fq6mp: Serving Cert: No target machine for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:14:06.689462461Z I1024 13:14:06.689432       1 csr_check.go:211] Could not use Machine for serving cert authorization: Unable to find machine for node
2024-10-24T13:14:06.695889380Z I1024 13:14:06.695825       1 controller.go:232] csr-fq6mp: CSR not authorized
2024-10-24T13:14:06.695989620Z E1024 13:14:06.695950       1 controller.go:316] "Reconciler error" err="could not reconcile CSR: could not authorize CSR: exhausted all authorization methods: Unable to find machine for node" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="71a92c9a-6331-4679-99c5-c4bbdf3b15a0"
2024-10-24T13:14:07.016604815Z I1024 13:14:07.016535       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:14:07.051001452Z I1024 13:14:07.050939       1 csr_check.go:163] csr-fq6mp: CSR does not appear to be client csr
2024-10-24T13:14:07.057004892Z I1024 13:14:07.056969       1 csr_check.go:565] retrieving serving cert from ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x (10.0.128.2:10250)
2024-10-24T13:14:07.059559032Z I1024 13:14:07.059396       1 csr_check.go:188] Failed to retrieve current serving cert: remote error: tls: internal error
2024-10-24T13:14:07.059559032Z I1024 13:14:07.059423       1 csr_check.go:208] Falling back to machine-api authorization for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x
2024-10-24T13:14:07.059559032Z E1024 13:14:07.059433       1 csr_check.go:366] csr-fq6mp: Serving Cert: No target machine for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:14:07.059559032Z I1024 13:14:07.059442       1 csr_check.go:211] Could not use Machine for serving cert authorization: Unable to find machine for node
2024-10-24T13:14:07.064541422Z I1024 13:14:07.064486       1 controller.go:232] csr-fq6mp: CSR not authorized
2024-10-24T13:14:07.064579762Z E1024 13:14:07.064559       1 controller.go:316] "Reconciler error" err="could not reconcile CSR: could not authorize CSR: exhausted all authorization methods: Unable to find machine for node" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="db76db2e-2b92-4cb9-935b-38ac8474d433"
2024-10-24T13:14:07.705083801Z I1024 13:14:07.704971       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:14:07.740248759Z I1024 13:14:07.740193       1 csr_check.go:163] csr-fq6mp: CSR does not appear to be client csr
2024-10-24T13:14:07.749909088Z I1024 13:14:07.749850       1 csr_check.go:565] retrieving serving cert from ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x (10.0.128.2:10250)
2024-10-24T13:14:07.752267058Z I1024 13:14:07.752213       1 csr_check.go:188] Failed to retrieve current serving cert: remote error: tls: internal error
2024-10-24T13:14:07.752267058Z I1024 13:14:07.752231       1 csr_check.go:208] Falling back to machine-api authorization for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x
2024-10-24T13:14:07.752267058Z E1024 13:14:07.752238       1 csr_check.go:366] csr-fq6mp: Serving Cert: No target machine for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:14:07.752267058Z I1024 13:14:07.752248       1 csr_check.go:211] Could not use Machine for serving cert authorization: Unable to find machine for node
2024-10-24T13:14:07.760397657Z I1024 13:14:07.760312       1 controller.go:232] csr-fq6mp: CSR not authorized
2024-10-24T13:14:07.760397657Z E1024 13:14:07.760386       1 controller.go:316] "Reconciler error" err="could not reconcile CSR: could not authorize CSR: exhausted all authorization methods: Unable to find machine for node" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="eee72110-4b14-492c-8974-0563166a0d90"
2024-10-24T13:14:09.040883856Z I1024 13:14:09.040808       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:14:28.782423684Z E1024 13:14:28.782359       1 leaderelection.go:429] Failed to update lock optimitically: rpc error: code = DeadlineExceeded desc = context deadline exceeded, falling back to slow path
2024-10-24T13:15:09.064096022Z E1024 13:15:09.064004       1 controller.go:138] csr-fq6mp: Failed to list machines in API group machine.openshift.io/v1beta1: the server was unable to return a response in the time allotted, but may still be processing the request (get machines.machine.openshift.io)
2024-10-24T13:15:09.064157902Z E1024 13:15:09.064121       1 controller.go:316] "Reconciler error" err="Failed to list machines: the server was unable to return a response in the time allotted, but may still be processing the request (get machines.machine.openshift.io)" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="6e8cde7b-d96f-49c4-8d86-6974e6cccc97"
2024-10-24T13:15:11.624778602Z I1024 13:15:11.624694       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:15:18.607770941Z I1024 13:15:18.600702       1 csr_check.go:163] csr-fq6mp: CSR does not appear to be client csr
2024-10-24T13:15:18.786303551Z I1024 13:15:18.786259       1 csr_check.go:565] retrieving serving cert from ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x (10.0.128.2:10250)
2024-10-24T13:15:18.792193140Z I1024 13:15:18.792150       1 csr_check.go:188] Failed to retrieve current serving cert: remote error: tls: internal error
2024-10-24T13:15:18.792532990Z I1024 13:15:18.792519       1 csr_check.go:208] Falling back to machine-api authorization for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x
2024-10-24T13:15:18.793140170Z E1024 13:15:18.793124       1 csr_check.go:366] csr-fq6mp: Serving Cert: No target machine for node "ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x"
2024-10-24T13:15:18.793224311Z I1024 13:15:18.793210       1 csr_check.go:211] Could not use Machine for serving cert authorization: Unable to find machine for node
2024-10-24T13:15:18.865432286Z I1024 13:15:18.865383       1 controller.go:232] csr-fq6mp: CSR not authorized
2024-10-24T13:15:18.865644027Z E1024 13:15:18.865602       1 controller.go:316] "Reconciler error" err="could not reconcile CSR: could not authorize CSR: exhausted all authorization methods: Unable to find machine for node" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" CertificateSigningRequest="csr-fq6mp" namespace="" name="csr-fq6mp" reconcileID="7b901055-0932-4d1a-b8e2-e1813a8fabbd"
2024-10-24T13:15:20.860503338Z I1024 13:15:20.860443       1 reflector.go:368] Caches populated for *v1.CertificateSigningRequest from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:15:20.860979527Z I1024 13:15:20.860958       1 controller.go:120] Reconciling CSR: csr-7zqpm
2024-10-24T13:15:20.861450778Z I1024 13:15:20.861400       1 controller.go:120] Reconciling CSR: csr-fq6mp
2024-10-24T13:15:20.861669197Z I1024 13:15:20.861643       1 controller.go:120] Reconciling CSR: csr-smzg4
2024-10-24T13:15:20.861904007Z I1024 13:15:20.861864       1 controller.go:120] Reconciling CSR: csr-v8nl9
2024-10-24T13:15:21.444211319Z I1024 13:15:21.444166       1 controller.go:213] csr-7zqpm: CSR is already approved
2024-10-24T13:15:21.444392300Z I1024 13:15:21.444243       1 csr_check.go:163] csr-fq6mp: CSR does not appear to be client csr
2024-10-24T13:15:21.542138066Z I1024 13:15:21.542072       1 csr_check.go:565] retrieving serving cert from ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x (10.0.128.2:10250)
2024-10-24T13:15:21.544520335Z I1024 13:15:21.544485       1 csr_check.go:188] Failed to retrieve current serving cert: remote error: tls: internal error
2024-10-24T13:15:21.544585925Z I1024 13:15:21.544560       1 csr_check.go:208] Falling back to machine-api authorization for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x
2024-10-24T13:15:21.657347300Z I1024 13:15:21.657296       1 controller.go:239] CSR csr-v8nl9 approved
2024-10-24T13:15:21.677198120Z I1024 13:15:21.677123       1 controller.go:239] CSR csr-fq6mp approved
2024-10-24T13:15:21.677301360Z I1024 13:15:21.677126       1 controller.go:239] CSR csr-smzg4 approved
